|PPM 44721 |02 03 53.952|+42 19 46.92| 0.0040| -0.0520|  2.3|K0        |F    |STAR K0|
|PPM 34007 |13 23 55.536|+54 55 31.44| 0.0141| -0.0200|  2.3|A2        |F    |STAR A2|
|PPM 25054 |00 09 10.704|+59 08 59.28| 0.0683| -0.1810|  2.3|F5        |D F  |STAR F5|
|PPM 317697|12 41 31.104|-48 57 34.56|-0.0191| -0.0110|  2.4|A0        |D    |STAR A0|
|PPM 304876|00 26 17.040|-42 18 21.96| 0.0183| -0.3960|  2.4|K0        |F    |STAR K0|
|PPM 296701|17 42 29.280|-39 01 48.00|-0.0005| -0.0270|  2.4|B2        |F    |STAR B2|
|PPM 252311|07 24 05.688|-29 18 11.16|-0.0003|  0.0050|  2.4|B5        |D F  |STAR B5|
|PPM 115095|23 03 46.464|+28 04 58.08| 0.0143|  0.1370|  2.4|M0        |D F  |STAR M0|
|PPM 33292 |11 53 49.824|+53 41 41.28| 0.0107|  0.0120|  2.4|A0        |F    |STAR A0|
|PPM 32912 |11 01 50.472|+56 22 56.64| 0.0099|  0.0340|  2.4|A0        |F    |STAR A0|
|PPM 22755 |21 18 34.776|+62 35 08.16| 0.0218|  0.0490|  2.4|A5        |D F  |STAR A5|
|PPM 337874|09 22 06.840|-55 00 38.52|-0.0010|  0.0090|  2.5|B3        |F    |STAR B3|
|PPM 318991|13 55 32.400|-47 17 18.24|-0.0056| -0.0420|  2.5|B2        |F    |STAR B2|
|PPM 146172|03 02 16.776|+04 05 22.92|-0.0006| -0.0780|  2.5|M0        |F    |STAR M0|
|PPM 142158|23 04 45.648|+15 12 18.72| 0.0044| -0.0420|  2.5|A0        |F    |STAR A0|
|PPM 85489 |20 46 12.696|+33 58 13.08| 0.0286|  0.3280|  2.5|K0        |D F  |STAR K0|
|PPM 340720|12 08 21.504|-50 43 20.64|-0.0036| -0.0080|  2.6|B3        |D F  |STAR B3|
|PPM 281732|05 39 38.952|-34 04 27.12| 0.0005| -0.0260|  2.6|B5        |D F  |STAR B5|
|PPM 260512|12 34 23.232|-23 23 48.48| 0.0002| -0.0540|  2.6|G5        |F    |STAR G5|
|PPM 231174|16 05 26.232|-19 48 19.44|-0.0004| -0.0190|  2.6|B1        |D F  |STAR B1|
|PPM 215925|05 32 43.800|-17 49 20.28| 0.0001|  0.0020|  2.6|F0        |D F  |STAR F0|
|PPM 225593|12 15 48.360|-17 32 30.84|-0.0112|  0.0230|  2.6|B8        |F    |STAR B8|
|PPM 232699|17 10 22.680|-15 43 30.00| 0.0031|  0.0640|  2.6|A2        |D    |STAR A2|
|PPM 231915|16 37 09.552|-10 34 01.56| 0.0009|  0.0260|  2.6|B0        |F    |STAR B0|
|PPM 198424|15 17 00.432|-09 22 58.44|-0.0065| -0.0190|  2.6|B8        |F    |STAR B8|
|PPM 161854|15 44 16.080|+06 25 32.16| 0.0092|  0.0470|  2.6|K0        |F    |STAR K0|
|PPM 100996|11 14 06.504|+20 31 25.32| 0.0101| -0.1300|  2.6|A3        |D F  |STAR A3|
|PPM 91184 |01 54 38.400|+20 48 28.80| 0.0068| -0.1110|  2.6|A5        |F    |STAR A5|
|PPM 359520|12 37 10.968|-69 08 07.80|-0.0090| -0.0130|  2.7|B3        |D F  |STAR B3|
|PPM 320091|14 58 31.920|-43 08 02.40|-0.0032| -0.0390|  2.7|B2        |F    |STAR B2|
|PPM 296424|17 30 45.840|-37 17 44.88|-0.0001| -0.0310|  2.7|B3        |F    |STAR B3|
|PPM 283747|07 17 08.544|-37 05 51.00|-0.0008|  0.0040|  2.7|K5        |D F  |STAR K5|
|PPM 269230|19 02 36.696|-29 52 48.72|-0.0014| -0.0030|  2.7|A2        |D    |STAR A2|
|PPM 268275|18 20 59.664|-29 49 41.16| 0.0027| -0.0280|  2.7|K0        |D F  |STAR K0|
|PPM 199443|16 14 20.736|-03 41 39.48|-0.0029| -0.1430|  2.7|M0        |D F  |STAR M0|
|PPM 400177|12 41 39.600|-01 26 57.84|-0.0380|  0.0100|  2.7|          |BD   |   STAR|
|PPM 136931|19 46 15.576|+10 36 47.88| 0.0012| -0.0020|  2.7|K2        |F    |STAR K2|
|PPM 130166|13 54 41.064|+18 23 51.72|-0.0044| -0.3580|  2.7|G0        |F    |STAR G0|
|PPM 69775 |04 56 59.616|+33 09 57.96| 0.0003| -0.0180|  2.7|K2        |F    |STAR K2|
|PPM 71083 |05 59 43.248|+37 12 45.72| 0.0038| -0.0650|  2.7|A0        |D    |STAR A0|
|PPM 12969 |01 25 48.960|+60 14 07.08| 0.0399| -0.0510|  2.7|A5        |D F  |STAR A5|
|PPM 366918|00 25 45.048|-77 15 15.48| 0.6692|  0.3240|  2.8|G0        |F    |STAR G0|
|PPM 358184|10 42 57.360|-64 23 40.20|-0.0035|  0.0100|  2.8|B0        |F    |STAR B0|
|PPM 361732|15 55 08.544|-63 25 50.52|-0.0285| -0.3980|  2.8|F0        |D F  |STAR F0|
|PPM 340824|12 15 08.688|-58 44 56.04|-0.0053| -0.0090|  2.8|B3        |F    |STAR B3|
|PPM 345989|17 25 18.000|-55 31 47.64|-0.0010| -0.0250|  2.8|K2        |F    |STAR K2|
|PPM 315716|10 46 46.320|-49 25 12.00| 0.0086| -0.0490|  2.8|G5        |D    |STAR G5|
|PPM 320519|15 22 40.872|-44 41 22.56|-0.0016| -0.0280|  2.8|B3        |D  V |STAR B3|
|PPM 294523|16 00 07.344|-38 23 47.40|-0.0009| -0.0140|  2.8|B3        |PD  V|STAR B3|
|PPM 291265|13 20 35.832|-36 42 44.28|-0.0283| -0.0850|  2.8|A2        |F    |STAR A2|
|PPM 265701|16 35 52.968|-28 12 57.60|-0.0006| -0.0220|  2.8|B0        |F    |STAR B0|
|PPM 268438|18 27 58.248|-25 25 18.12|-0.0032| -0.1850|  2.8|K0        |F    |STAR K0|
|PPM 253887|08 07 32.640|-24 18 15.48|-0.0061|  0.0490|  2.8|F5        |D F  |STAR F5|
|PPM 248938|05 28 14.712|-20 45 34.20|-0.0003| -0.0890|  2.8|G0        |D F  |STAR G0|
